Crop,Year,CAR,Region I,Region II,Region III,Region IV-A,MIMAROPA,Region V,Region VI,Region VII,Region VIII,Region IX,Region X,Region XI,Region XII,Region XIII,ARMM
Palay,2014,118476,412419,591660,717191,116568,280920,329573,618727,104288,283020,163096,161414,103822,346906,174170,217422
Palay,2015,111482,412936,584119,699646,113066,283586,342307,622315,102427,268315,163636,163755,99220,339938,155130,194349
Palay,2016,110640,412635,556884,704185,116768,287842,354089,572755,80153,268110,155291,160209,97789,315690,150076,212927
Palay,2017,115555,411818,587097,720930,116348,302447,363823,654803,100830,272889,172388,164177,101131,351177,155203,221192
Palay,2018,111387,405981,562018,727704,108650,306790,357654,668861,97619,269786,177540,164769,106550,348480,160282,226335
Irrigated_palay,2014,93301,285823,511873,639952,86191,189480,214082,296174,59221,129728,94564,140441,89243,266223,100072,56711
Irrigated_palay,2015,86521,285940,511196,622813,85094,195510,229301,304733,59058,126500,94551,142750,87977,263726,90392,47124
Irrigated_palay,2016,88006,285672,496531,637343,85333,201026,236205,272262,51757,125261,90697,141679,87063,249165,92876,40226
Irrigated_palay,2017,92205,285563,513601,651832,83337,207884,242155,298831,61516,125381,100378,142920,87350,276980,89643,35510
Irrigated_palay,2018,90420,281511,490883,663020,80651,212672,237232,299736,61330,123466,99123,143483,92322,273610,96722,39972
Rainfed_Palay,2014,25175,126596,79786,77239,30377,91440,115491,322553,45067,153292,68532,20973,14579,80683,74098,160711
Rainfed_Palay,2015,24961,126996,72923,76833,27972,88076,113006,317582,43369,141815,69085,21005,11243,76212,64738,147225
Rainfed_Palay,2016,22634,126963,60353,66842,31435,86816,117884,300493,28396,142849,64594,18530,10726,66525,57200,172701
Rainfed_Palay,2017,23350,126255,73496,69098,33011,94563,121668,355972,39314,147508,72010,21257,13781,74197,65560,185682
Rainfed_Palay,2018,20967,124470,71135,64684,27999,94118,120422,369125,36289,146320,78417,21286,14228,74870,63560,186363
Corn,2014,64832,87763,437729,43535,34518,29135,113596,124312,193089,60752,130116,374646,169306,428556,41957,277590
Corn,2015,64411,87608,425965,47368,29185,31391,103025,120157,187296,61409,131590,377040,154398,416400,42396,282295
Corn,2016,61045,89769,414449,47382,35084,30510,107544,107255,174267,57087,145555,370806,154584,383266,44705,261157
Corn,2017,61391,94870,414792,45875,34803,30060,114616,109849,163767,53672,141061,374515,165636,413649,34034,300002
Corn,2018,58405,95087,385660,47597,32662,31521,111900,107998,148192,53284,142305,370541,172924,406165,36699,310497
White_Corn,2014,"8,368",15135,20302,11149,18408,7697,52378,51059,192422,53497,121492,201839,146983,130093,28482,230909
White_Corn,2015,"8,125",14218,18215,11465,15956,7393,52708,49806,186858,54161,121659,201588,136782,121494,29562,235504
White_Corn,2016,"7,497",13389,16426,11237,17744,7479,50371,8487,173691,50026,135856,204734,136381,112497,28998,159245
White_Corn,2017,"7,198",13159,11546,11681,17632,7357,55715,50215,163086,48594,129975,200347,144918,118732,19063,174916
White_Corn,2018,"6,696",12461,12095,12300,15717,6675,54499,48685,147309,49044,129733,195479,148770,116702,20125,177455
Yellow_Corn,2014,"56,464",72628,417427,32386,16110,21438,61218,73253,667,7255,8624,172807,22323,298463,13475,46681
Yellow_Corn,2015,"56,286",73390,407750,35903,13229,23998,50317,70351,438,7248,9931,175452,17616,294906,12834,46791
Yellow_Corn,2016,"53,548",76380,398023,36145,17340,23031,57173,58788,576,7061,9699,166072,18203,270769,15707,101912
Yellow_Corn,2017,"54,193",81711,403247,34194,17171,22703,58901,59634,681,5078,11086,174168,20718,294917,14971,125086
Yellow_Corn,2018,"51,709",82626,373566,35297,16945,24846,57401,59313,883,4240,12572,175062,24154,289463,16574,133042
Banana,2014,26254,43880,376366,58783,104304,155263,74511,270330,194069,216991,274127,1781045,3368176,1203369,243792,493598
Banana,2015,26576,43164,384134,58439,96307,168299,76452,285578,198838,227223,281856,1832173,3455014,1159091,259738,531048
Banana,2016,25585,41506,354400,49654,111736,97994,76841,284697,193903,226603,260790,1864422,3479473,1024389,278015,533677
Banana,2017,21104,42353,307606,49811,114130,93175,73343,291136,205675,232502,262521,1930062,3512942,1167203,293056,569716
Banana,2018,20867,42181,346524,50809,114871,104120,79063,302102,207959,233578,259328,1951138,3555285,1208241,289458,593261
Calamansi,2014,73,1026,1225,1243,1661,6579,947,841,247,177,1037,662,1790,1000,1408,148
Calamansi,2015,75,1026,1227,1250,1662,6585,885,793,251,177,1030,682,1788,1004,1411,148
Calamansi,2016,73,1018,1229,1248,1662,6571,827,791,249,178,1027,660,1770,962,1412,148
Calamansi,2017,74,1015,1199,1244,1658,6563,827,791,255,182,1025,660,1770,963,1413,148
Calamansi,2018,71,1016,1199,1250,1656,6567,827,792,255,187,1024,660,1748,967,1410,148
Durian,2014,0,0,3,4,37,36,0,181,22,32,1088,1432,8238,2204,1950,1315
Durian,2015,0,1,4,4,37,45,0,171,24,32,1091,1432,8330,2202,1935,1315
Durian,2016,0,1,4,5,38,43,0,171,25,32,1102,1432,8344,2159,1949,1314
Durian,2017,0,1,4,5,38,43,0,172,25,24,1108,1432,8395,2163,1949,1314
Durian,2018,0,1,4,5,38,43,0,173,25,25,1113,1434,8400,2163,1955,1314
Lanzones,2014,38,14,28,13,4326,348,35,463,110,157,1977,3350,1176,1307,1150,5446
Lanzones,2015,45,14,30,14,4331,546,33,454,112,161,1977,3350,1186,1305,1150,5452
Lanzones,2016,41,14,30,29,4363,545,36,456,112,161,1988,3336,1188,1251,1143,5452
Lanzones,2017,42,14,31,24,4367,543,36,456,114,162,1990,3343,1875,1251,1143,5452
Lanzones,2018,40,15,32,23,4385,543,36,457,114,160,1992,3343,2275,1251,1170,5452
Mango,2014,782,22269,10417,34108,14185,3817,2859,10016,11969,736,16981,8721,18296,17351,2623,12964
Mango,2015,794,22264,10416,33543,13972,3786,2840,9957,11976,715,16927,8720,18299,17261,2628,14327
Mango,2016,791,21855,10419,33576,13950,3573,2836,10105,11978,717,16905,8720,18315,17143,2625,14328
Mango,2017,789,21487,10250,33571,13783,3556,2837,10273,11977,715,15343,8719,18639,17146,2625,14330
Mango,2018,783,21475,10243,33500,13782,3554,2837,10283,11976,705,15338,8722,18572,17125,2623,14341
Orange,2014,151,11,357,4,2,3,464,24,15,47,12,46,173,24,45,70
Orange,2015,145,9,360,3,2,3,464,24,15,45,7,39,164,25,43,70
Orange,2016,136,8,351,2,2,3,464,24,10,45,7,37,159,25,43,70
Orange,2017,130,7,346,2,2,3,450,24,10,45,6,37,141,25,43,70
Orange,2018,129,7,345,0,2,3,450,24,10,44,5,36,133,31,43,70
,,,,,,,,,,,,,,,,,
Papaya,2014,203,312,443,658,634,381,536,673,284,416,457,793,504,1352,116,157
Papaya,2015,202,308,403,663,615,382,503,676,275,416,455,738,500,1345,108,158
Papaya,2016,198,313,394,740,656,374,504,684,266,418,459,752,497,1319,105,159
Papaya,2017,181,312,363,727,663,382,492,683,266,419,464,727,503,1341,105,159
Papaya,2018,181,313,371,733,652,377,531,682,259,387,464,724,501,1345,105,159
,,,,,,,,,,,,,,,,,
Pineapple,2014,109,26,1295,163,3772,77,3078,860,470,552,305,24100,1978,24545,219,93
Pineapple,2015,109,26,1380,168,3953,82,3079,850,467,595,294,25444,1870,24182,225,88
Pineapple,2016,107,24,1349,168,4076,99,4773,840,467,646,292,26189,1863,24029,214,88
Pineapple,2017,92,24,1376,170,4206,105,4778,849,435,659,295,26497,1808,24394,223,87
Pineapple,2018,94,24,1434,221,4226,110,4773,851,434,648,209,26595,1808,24445,232,87
,,,,,,,,,,,,,,,,,
Rambutan,2014,60,45,283,71,1778,682,15,73,49,21,417,189,496,1303,756,26
Rambutan,2015,66,49,295,73,766,878,14,75,51,23,421,189,508,1305,756,26
Rambutan,2016,59,50,305,74,796,855,15,77,56,28,426,189,510,1237,782,27
Rambutan,2017,60,50,308,76,814,853,15,79,56,27,424,189,640,1237,782,27
Rambutan,2018,55,51,308,76,814,855,25,81,56,26,427,189,651,1238,848,27
,,,,,,,,,,,,,,,,,
Tamarind,2014,10,977,295,183,75,91,76,111,144,21,102,8,118,45,6,3
Tamarind,2015,10,932,295,187,75,91,74,109,134,21,102,9,118,46,6,3
Tamarind,2016,10,928,287,188,75,87,74,109,110,21,102,9,117,45,6,3
Tamarind,2017,10,924,266,188,75,88,74,109,110,21,99,10,117,46,6,3
Tamarind,2018,11,925,266,188,74,89,185,108,105,21,98,10,117,45,6,3
,,,,,,,,,,,,,,,,,
Watermelon,2014,20,910,320,1035,199,273,159,2842,47,107,41,286,230,227,294,30
Watermelon,2015,20,927,329,1044,168,293,164,3099,52,121,50,302,218,254,290,40
Watermelon,2016,20,927,297,1035,168,329,163,2802,58,120,51,322,241,261,243,46
Watermelon,2017,20,929,312,1169,159,331,177,2876,58,112,43,323,254,264,237,46
Watermelon,2018,21,906,326,1223,158,309,981,2984,81,110,44,323,259,329,266,49
,,,,,,,,,,,,,,,,,
Coconut,2014,362,12434,15011,26305,451100,204106,453704,108832,126347,322089,417314,302818,356480,186111,191108,327890
Coconut,2015,378,12431,15131,26540,448905,209118,454013,109438,124950,322050,420798,302818,357497,193933,191103,328640
Coconut,2016,375,12693,15245,27873,485208,214650,454349,109972,124940,320201,423792,302816,357453,190841,193019,331633
Coconut,2017,333,12498,15189,28126,485211,216939,454020,110442,124940,328777,453994,302816,357890,192721,196774,331634
Coconut,2018,334,12541,15413,28126,485191,219225,453994,116018,125025,329717,455403,303981,357935,196273,196774,332184
,,,,,,,,,,,,,,,,,
Coffee,2014,6681,173,2913,1906,13466,947,793,9878,1717,173,890,11852,21524,26434,4397,13707
Coffee,2015,6631,352,2922,1957,13409,933,737,9857,1702,172,919,11709,17344,26731,4417,13946
Coffee,2016,6322,616,3544,1703,13472,930,694,9897,2531,169,922,11749,17256,26612,4486,13936
Coffee,2017,6289,737,3676,1474,13319,932,606,9905,2122,165,903,11600,16344,26327,4486,13958
Coffee,2018,5983,785,4398,1484,13296,929,475,9906,2133,190,872,11650,16309,26304,4674,13964
,,,,,,,,,,,,,,,,,
Sugarcane,2014,"1,217",441,16212,17664,26102,0,5530,215532,48278,8542,87,72008,7999,11115,2,1297
Sugarcane,2015,"1,213",446,16159,15372,29885,0,5030,217758,44083,7458,33,65321,4425,12317,2,1808
Sugarcane,2016,"1,085",446,15676,15407,27305,0,5030,209500,45834,6456,33,61427,10174,10114,2,1614
Sugarcane,2017,"1,101",448,13477,16683,28228,0,5030,201833,45947,10205,32,90945,8551,13375,2,1614
Sugarcane,2018,"1,017",448,12328,16338,28390,0,4905,219332,44905,10205,32,76455,9301,12230,7,1614
,,,,,,,,,,,,,,,,,
Cabbage,2014,"5,316",372,193,0,130,21,21,65,694,24,90,519,577,219,2,67
Cabbage,2015,"5,274",375,191,0,125,23,10,68,651,25,78,510,584,198,3,67
Cabbage,2016,"5,137",373,218,0.01,128,22,9,67,644,25,74,500,573,176,4,69
Cabbage,2017,"5,117",367,223,0.02,113,22,9,69,654,22,69,513,496,167,4,68
Cabbage,2018,"5,096",340,226,0.01,103,18,8,72,653,19,69,525,489,161,5,56
,,,,,,,,,,,,,,,,,
Carrots,2014,"3,318",1,92,0,7,1,5,25,584,4,82,132,360,149,2,0
Carrots,2015,"3,277",0.3,90,0,6,1,5,25,570,4,73,123,350,149,0,0
Carrots,2016,"3,244",0,88,0.1,7,1,5,25,569,4,72,120,344,129,0,0
Carrots,2017,"3,257",0,91,0.1,5,1,5,24,574,2,68,119,333,128,0,0
Carrots,2018,"3,190",0,92,0.1,7,1,5,24,581,2,66,117,323,125,0.1,0
,,,,,,,,,,,,,,,,,
Cassava,2014,655,1897,8637,1786,7641,2600,22254,6574,8759,16672,6027,25821,2342,4282,2740,98089
Cassava,2015,659,1916,14175,1935,7253,2618,22396,6432,9400,15803,5986,27904,2399,4128,2722,97266
Cassava,2016,877,1930,19114,1926,7231,2830,22330,6244,9862,15444,6640,27837,2591,3870,2789,98253
Cassava,2017,"1,171",1926,22069,2046,7223,2817,21485,6119,9689,15393,6935,28607,2627,4332,2746,99355
Cassava,2018,"1,099",1914,20618,2065,7204,2753,21409,5865,8021,14427,6438,27621,2559,3951,2764,98938
,,,,,,,,,,,,,,,,,
Eggplant,2014,147,4969,1963,2786,1752,980,1359,1516,1401,324,545,839,1162,642,560,215
Eggplant,2015,147,5036,1905,2843,1515,1029,1363,1552,1393,328,500,828,1140,641,574,215
Eggplant,2016,155,5112,1817,2823,1483,1043,1353,1579,1314,328,491,845,1101,644,735,216
Eggplant,2017,157,5152,1828,2895,1533,1145,1388,1563,1404,315,492,872,1108,642,734,218
Eggplant,2018,159,5159,1818,3015,1549,1172,1369,1601,1407,296,498,895,1109,578,802,226
,,,,,,,,,,,,,,,,,
Garlic(Bulb),2014,7,1879,153,133,61,299,0,21,0.2,2,0,0,0,0,0,0
Garlic(Bulb),2015,7,2075,147,135,50,307,0,22,0.3,2,0,0,0,0,0,0
Garlic(Bulb),2016,6,2014,149,118,46,292,0,20,0,2,0,0,0,0,0,0
Garlic(Bulb),2017,6,1991,125,118,42,265,0,20,0,2,0,0,0,0,0,0
Garlic(Bulb),2018,2,1987,126,230,40,245,0,22,0,2,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
Ginger,2014,137,138,778,184,362,137,82,214,317,250,113,707,237,97,27,69
Ginger,2015,136,144,762,188,333,138,82,204,326,261,112,703,239,91,22,65
Ginger,2016,131,152,762,189,333,145,82,207,342,264,110,699,234,89,29,65
Ginger,2017,133,159,684,202,378,170,85,216,354,276,110,706,245,89,35,66
Ginger,2018,127,168,686,200,390,164,89,225,346,275,111,711,253,86,35,65
,,,,,,,,,,,,,,,,,
Bottle_Gourd,2014,181,695,762,632,2478,95,259,226,292,293,345,372,404,125,74,64
Bottle_Gourd,2015,181,693,755,706,2508,97,263,226,291,309,361,368,406,122,80,63
Bottle_Gourd,2016,179,683,724,687,2475,102,263,224,282,310,345,368,392,114,93,61
Bottle_Gourd,2017,179,706,730,694,2259,120,284,224,283,303,346,378,397,115,98,63
Bottle_Gourd,2018,180,716,713,694,2264,121,289,227,280,296,349,385,398,109,110,64
,,,,,,,,,,,,,,,,,
Snap_Beans,2014,"1,283",181,632,21,82,0,222,38,464,78,50,108,143,66,25,3
Snap_Beans,2015,"1,235",178,555,17,83,1,223,38,452,77,45,93,150,63,30,2
Snap_Beans,2016,"1,172",147,548,15,80,0.4,224,36,449,77,40,97,151,68,26,2
Snap_Beans,2017,"1,160",152,546,15,85,1,224,37,454,75,41,100,155,73,29,2
Snap_Beans,2018,"1,105",152,545,15,91,1,222,38,451,75,40,108,157,73,30,2
,,,,,,,,,,,,,,,,,
Lettuce,2014,167,0,3,0,21,2,0,7,114,1,5,164,4,23,0.01,0
Lettuce,2015,157,0,3,0,26,2,0,9,116,1,4,138,4,23,0,0
Lettuce,2016,162,0,3,1,27,2,0,9,105,2,4,142,8,18,0.1,0
Lettuce,2017,161,0,3,0.1,31,2,0,9,105,3,4,147,11,18,0.3,0
Lettuce,2018,148,0,2,3,33,3,0,10,108,2,4,151,11,18,0.3,0
,,,,,,,,,,,,,,,,,
Mongo,2014,167,9921,13591,4414,138,966,232,5242,1148,255,246,489,1354,595,207,4014
Mongo,2015,163,9858,13667,4594,138,984,233,5774,1060,257,217,501,1338,574,219,1875
Mongo,2016,157,9837,13997,4614,141,1148,224,5258,1018,255,211,488,1350,554,235,1862
Mongo,2017,135,9601,13853,5812,138,1061,220,5098,1054,246,207,501,1369,533,241,1863
Mongo,2018,127,9512,13678,5859,128,1063,218,5056,1001,244,211,497,1366,496,260,1865
,,,,,,,,,,,,,,,,,
Okra,2014,21,181,656,764,169,118,176,256,240,142,126,341,215,119,102,22
Okra,2015,22,189,621,803,181,119,177,264,235,148,120,335,223,121,116,20
Okra,2016,19,201,588,820,175,127,175,264,233,149,121,334,229,121,113,20
Okra,2017,20,210,613,839,193,154,175,277,252,145,121,345,241,119,119,21
Okra,2018,19,211,593,916,196,157,175,288,252,143,123,359,246,114,126,23
,,,,,,,,,,,,,,,,,
Onion,2014,0,4588,660,8522,89,1920,0,51,3,0,3,0,0,9,0,0
Onion,2015,0,4601,609,7407,45,2117,0,67,3,0,3,0,0,8,1,0
Onion,2016,0,4401,669,6105,36,1696,0,65,5,0,3,0,0,8,0,0
Onion,2017,0,4479,711,10706,30,2246,0,70,9,0,2,0,0,5,0.1,0
Onion,2018,0,4295,713,10523,29,2262,0,74,7,0,0,0,0,3,0,0
,,,,,,,,,,,,,,,,,
Peanut,2014,239,7439,3439,1275,497,1156,1214,3387,1221,690,692,1787,517,539,137,821
Peanut,2015,229,7508,3171,1202,487,1165,1214,3409,1183,688,618,1717,529,511,148,801
Peanut,2016,224,7356,2613,1204,488,1255,1203,3157,1047,683,618,1736,513,479,148,798
Peanut,2017,212,7361,2548,1211,482,1248,1182,3227,1291,648,611,1770,522,505,798,158
Peanut,2018,209,7483,2549,1209,450,1217,1189,3325,1187,647,615,1798,532,512,804,174
,,,,,,,,,,,,,,,,,
ChinesePechay,2014,"2,787",0.2,27,0,31,0,0,0,380,2,12,294,95,69,0,0
ChinesePechay,2015,"2,770",0.2,21,0,31,0,0,0,348,2,12,279,100,62,0,0
ChinesePechay,2016,"2,749",0,27,0.1,30,0,0,0,348,2,11,279,98,58,0,0
ChinesePechay,2017,"2,685",0,32,0.1,28,0,0,0,351,1,11,287,100,61,0,0
ChinesePechay,2018,"2,647",0,34,5,28,0,0,0,351,0.3,11,284,102,60,0,0
,,,,,,,,,,,,,,,,,
NativePechay,2014,523,456,883,352,791,207,2238,260,196,148,238,212,245,131,127,98
NativePechay,2015,507,462,878,392,801,211,2246,262,173,153,241,212,256,119,129,91
NativePechay,2016,501,466,881,387,811,227,2251,266,167,153,239,214,250,108,143,92
NativePechay,2017,468,482,905,392,810,277,2207,272,177,147,239,214,255,109,168,93
NativePechay,2018,437,485,892,391,814,271,2216,282,182,143,239,230,266,111,176,96
,,,,,,,,,,,,,,,,,
Camote,2014,"3,021",2995,1483,6951,3936,2545,18039,6641,5968,20574,2425,2731,3717,1479,4746,1718
Camote,2015,"2,892",3003,1432,5879,3942,2555,17583,6754,5638,19293,2378,2709,3738,1386,4762,1899
Camote,2016,"2,806",2983,1311,5920,3957,2575,17402,6450,5729,18858,2323,2744,3628,1293,4873,1899
Camote,2017,"2,600",2852,1177,5981,3967,2587,17405,6572,5811,18619,2332,2814,3622,1270,5465,1899
Camote,2018,"2,194",2813,1187,5920,3920,2578,17399,6545,5631,18381,2322,2864,3648,1221,5523,1900
,,,,,,,,,,,,,,,,,
Gabi,2014,441,479,1689,986,856,730,1377,629,1049,4355,219,303,436,304,1401,133
Gabi,2015,440,471,1699,985,831,710,1322,623,1025,4469,209,303,436,284,1411,129
Gabi,2016,436,455,1699,985,787,698,1288,617,1001,4467,193,305,433,241,1413,127
Gabi,2017,437,451,1628,975,774,703,1283,616,980,4456,193,312,436,235,1405,127
Gabi,2018,420,451,1639,976,767,709,1280,618,979,4392,195,312,431,216,1410,127
,,,,,,,,,,,,,,,,,
Tomato,2014,356,3821,873,3482,1243,329,546,803,653,96,434,2629,651,657,50,119
Tomato,2015,342,3827,801,3214,1147,344,550,862,620,100,409,2529,640,652,53,75
Tomato,2016,336,3789,855,3260,1135,353,550,870,563,101,402,2525,647,660,78,75
Tomato,2017,335,3826,820,3265,1196,425,550,908,601,98,402,2595,653,648,93,75
Tomato,2018,301,3659,829,3350,1258,443,550,917,618,95,408,2589,658,640,98,80
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ubi,2014,34,45,330,94,119,109,88,93,1062,199,61,184,58,69,16,56
Ubi,2015,33,45,317,94,121,108,88,99,915,199,61,169,54,64,12,56
Ubi,2016,33,45,305,100,206,109,82,90,920,195,60,166,45,57,9,56
Ubi,2017,35,45,298,102,208,114,82,84,913,180,62,165,46,58,10,56
Ubi,2018,33,45,293,101,210,115,77,84,915,176,62,168,44,57,10,56
