id,Crop,Year,CAR,Region I,Region II,Region III,Region IV-A,MIMAROPA,Region V,Region VI,Region VII,Region VIII,Region IX,Region X,Region XI,Region XII,Region XIII,ARMM
1,Palay,2014,452609,1796229,2514934,3765150,405582,1081878,1258147,2052574,338822,982596,656777,713764,452267,1364849,574499,557149
2,Palay,2015,400911,1777121,2489647,3304310,392907,1081833,1264448,2056824,336194,955709,661775,725120,441868,1291644,481312,488215
3,Palay,2016,382848,1805126,2332654,3342883,407124,1080408,1275492,1896230,231982,954844,581111,711284,417948,1200642,462182,544486
4,Palay,2017,445006,1872052,2656979,3634807,410833,1159830,1335077,2230837,325209,945565,700590,745733,433665,1319505,482675,577984
5,Palay,2018,391105,1720044,2379771,3615115,420233,1230988,1350438,2232293,309459,946877,728673,761400,488105,1343125,510071,638397
6,Irrigated Palay,2014,389732,1305464,2310297,3423053,332796,779339,881474,1085142,215066,550832,424100,643114,406793,1115486,355957,187071
7,Irrigated Palay,2015,345847,1290575,2303173,3059780,322856,791572,923012,1113382,217166,549640,424822,655526,409053,1069446,308837,153237
8,Irrigated Palay,2016,334494,1305193,2181739,3114840,326911,791547,918904,993869,166024,542684,381776,647705,385528,1003147,311108,134403
9,Irrigated Palay,2017,389558,1360204,2429032,3342794,324459,845481,955709,1114054,216966,532995,453535,672083,393250,1101570,306385,119244
10,Irrigated Palay,2018,349285,1255234,2159707,3346165,336836,895044,971552,1102620,209718,532732,445997,685437,443089,1122010,334428,158140
11,Rainfed Palay,2014,62877,490765,204637,342097,72786,302539,376673,967432,123756,431764,232677,70650,45474,249363,218542,370078
12,Rainfed Palay,2015,55064,486546,186474,244530,70051,290261,341436,943442,119028,406069,236953,69594,32815,222198,172475,334978
13,Rainfed Palay,2016,48354,499933,150915,228043,80213,288861,356588,902361,65958,412160,199335,63579,32420,197495,151074,410083
14,Rainfed Palay,2017,55448,511848,227947,292013,86374,314349,379368,1116783,108243,412570,247055,73651,40415,217935,176290,458740
15,Rainfed Palay,2018,41820,464810,220064,268950,83398,335944,378887,1129672,99741,414145,282677,75963,45016,221115,175643,480256
16,Corn,2014,244576,476741,1856715,240870,74329,107723,285647,368404,164197,88162,223342,1196542,280293,1338065,125406,699591
17,Corn,2015,237823,490943,1801194,271319,64823,125492,243908,350391,150051,91145,220180,1216302,224100,1239275,118774,673036
18,Corn,2016,199355,508024,1678813,259546,96821,114604,259375,283671,156729,81603,258951,1223116,219089,1144010,144529,590580
19,Corn,2017,242850,556462,1837480,258746,92762,121098,287005,301286,146470,73481,234455,1287303,256735,1257177,119980,841618
20,Corn,2018,207439,560885,1625325,271945,91418,130146,279732,310839,127602,74197,258910,1289538,274675,1231074,135627,902567
21,White Corn,2014,20680,51094,46489,29450,30936,16345,57440,100638,162158,74783,193017,400628,212718,265174,57087,543597
22,White Corn,2015,19871,48202,43846,32014,25402,16407,55472,95509,148672,77741,185359,407259,173226,233889,56079,515725
23,White Corn,2016,17993,45921,38071,31216,30867,17287,57685,80871,154614,68966,217648,463292,170609,217856,66270,343342
24,White Corn,2017,17888,47717,34129,37188,29998,17597,64960,88771,143565,64535,192226,471610,197547,231011,47001,418458
25,White Corn,2018,16673,47960,34913,41041,26662,15449,65026,87729,124555,66539,211330,459389,202451,228671,53055,463864
26,Yellow Corn,2014,223896,425647,1810226,211420,43393,91378,228207,267766,2039,13379,30325,795914,67575,1072891,68320,155994
27,Yellow Corn,2015,217952,442741,1757348,239305,39421,109085,188436,254882,1379,13404,34821,809043,50874,1005386,62695,157311
28,Yellow Corn,2016,181362,462103,1640741,228330,65954,97317,201690,202801,2115,12637,41303,759824,48480,926154,78259,247238
29,Yellow Corn,2017,224962,508745,1803351,221558,62764,103501,222045,212515,2905,8946,42229,815693,59188,1026166,72979,423160
30,Yellow Corn,2018,190766,512925,1590413,230903,64756,114697,214706,223110,3047,7658,47580,830149,72224,1002403,82572,438703
31,Banana,2014,8914,21845,274218,29068,68600,96980,38657,159632,123472,145577,147029,302445,522808,369172,99909,159168
32,Banana,2015,9215,21523,283909,28292,62624,105942,39658,170589,126361,153545,153172,304692,533812,370851,97956,164989
33,Banana,2016,8844,20629,258653,22700,74012,61631,40103,170407,125437,154061,138394,302528,531435,295897,105149,164319
34,Banana,2017,7558,21189,229636,22286,76010,58366,38488,174236,133602,158739,138833,304009,538688,331389,110632,176348
35,Banana,2018,7571,21275,257273,23076,76044,65134,41457,180421,135497,160408,135422,307527,545745,336173,117641,182438
36,Calamansi,2014,445,3409,6628,10717,12426,83750,1845,5037,1131,1283,10235,2041,8286,7579,4421,1509
37,Calamansi,2015,445,3432,7002,10765,13054,84212,1826,4659,1175,1503,9995,2127,8391,7370,4978,1741
38,Calamansi,2016,435,3417,6682,10179,13046,42315,1925,4345,1185,1684,10022,2211,8444,5009,5615,1732
39,Calamansi,2017,441,3457,6407,10295,13061,39745,1905,4326,1164,1745,10863,2277,8313,5452,5196,2019
40,Calamansi,2018,438,3352,5171,9980,13413,39154,1967,4393,1151,1751,9841,2306,8240,5333,4997,2067
41,Durian,2014,0,0,28,4,41,16,0,159,7,7,931,2156,62769,5064,2198,6953
42,Durian,2015,0,2,33,3,41,17,0,144,10,8,1506,2295,67697,5159,2678,7788
43,Durian,2016,0,2,36,2,45,15,0,146,17,8,1345,2312,53806,3687,3106,6917
44,Durian,2017,0,2,46,1,54,14,0,157,10,8,989,2088,51818,2723,2731,5816
45,Durian,2018,0,1,43,2,57,13,0,183,15,8,1105,2055,59027,4354,2372,6285
46,Lanzones,2014,46,6,49,12,1244,154,8,482,66,137,1853,4577,640,718,319,3589
47,Lanzones,2015,50,6,50,10,1292,160,8,501,78,120,5908,7369,530,758,588,3386
48,Lanzones,2016,43,6,47,9,1223,128,20,481,61,116,4844,5600,431,502,614,3035
49,Lanzones,2017,35,7,59,7,1137,70,13,426,12,103,303,2631,210,255,607,2155
50,Lanzones,2018,30,7,50,6,1788,59,13,451,29,93,2013,3803,578,552,589,2305
51,Mango,2014,3610,271091,53691,68966,59474,11838,1592,44507,75054,518,109534,45224,53668,59712,15700,10860
52,Mango,2015,3332,259533,50163,68813,59041,12864,1684,51972,86283,506,116211,50681,54336,58595,17228,11497
53,Mango,2016,3102,209375,60855,61998,50465,14939,1888,50062,66539,504,114910,50753,52765,46902,17121,11879
54,Mango,2017,2878,194042,48625,48957,41195,15399,1879,48852,68219,485,86425,49548,52337,47797,18195,12198
55,Mango,2018,2718,167594,47507,44166,40754,15725,2347,49057,73545,484,78275,50705,53355,52480,18533,14416
56,Orange,2014,839,17,590,22,9,9,899,22,5,54,30,88,611,105,13,14
57,Orange,2015,782,15,602,14,9,9,917,20,3,47,27,79,561,107,15,12
58,Orange,2016,675,12,566,6,7,9,797,20,3,42,22,67,520,92,11,12
59,Orange,2017,613,11,565,0,5,9,701,19,3,34,20,61,489,87,6,12
60,Orange,2018,546,9,535,0,4,10,570,17,3,29,20,51,470,87,4,11
61,Papaya,2014,1730,3542,1995,4149,7094,4024,9074,5256,6628,2264,5615,38256,10406,69008,940,2646
62,Papaya,2015,1765,3497,1874,5640,6952,4144,9188,5268,6837,2201,6149,37240,10463,67975,831,2626
63,Papaya,2016,1688,3392,1737,5407,7108,4072,9118,5387,6055,2158,5868,36790,10336,60029,790,2546
64,Papaya,2017,1635,3518,1592,5486,7150,4296,8755,5564,6314,2158,6060,37239,10406,63472,808,2591
65,Papaya,2018,1523,3470,1559,5503,6675,4231,8802,5650,6237,2130,6006,37967,10440,65505,819,2624
66,Pineapple,2014,805,199,33842,1620,85448,404,123411,17054,6900,6706,1883,1392652,28097,804254,2810,1012
67,Pineapple,2015,814,197,35129,1657,88660,448,130595,16847,6306,7186,1657,1468387,26880,794334,2682,921
68,Pineapple,2016,831,228,34821,1629,92514,552,137991,16494,4359,8015,1398,1516920,26301,766695,2820,905
69,Pineapple,2017,750,229,34984,1772,97696,580,127489,16910,4939,8102,1366,1554637,25978,792054,3324,900
70,Pineapple,2018,749,221,38778,1856,94034,588,151217,17755,6041,7978,1056,1572163,26716,808027,2882,924
71,Rambutan,2014,64,94,419,63,1589,363,23,168,56,7,345,380,920,1652,315,22
72,Rambutan,2015,80,96,452,54,1618,391,24,176,83,7,1908,444,1082,1531,751,27
73,Rambutan,2016,87,101,505,47,1785,277,24,176,65,9,1678,462,1017,950,462,25
74,Rambutan,2017,75,101,577,48,2123,225,24,167,19,9,686,439,781,363,408,18
75,Rambutan,2018,70,98,553,48,2217,199,26,204,39,11,752,465,1059,905,534,26
76,Tamarind,2014,8,2584,1304,1600,94,179,155,68,119,31,150,18,1012,235,0,1
77,Tamarind,2015,9,2593,1388,1407,98,173,160,66,96,32,153,17,1015,228,0.3,0.3
78,Tamarind,2016,9,2474,1280,1418,94,170,151,62,81,29,139,16,1007,196,1,0.3
79,Tamarind,2017,10,2596,836,1422,82,175,153,59,74,29,118,14,993,192,1,0.3
80,Tamarind,2018,10,2473,850,1446,77,177,154,57,63,29,109,12,990,189,1,0.2
81,Watermelon,2014,118,24707,7097,6767,2951,2934,5424,71516,1072,648,487,1890,1096,1982,2794,47
82,Watermelon,2015,141,26936,7416,7103,2950,3192,5598,83876,1167,700,638,2024,1070,2132,3010,80
83,Watermelon,2016,140,26698,6993,6851,2899,3413,5756,79961,1285,676,866,2247,1090,2388,2535,83
84,Watermelon,2017,142,26095,9644,7307,2382,3523,5686,81381,1455,646,819,2258,1177,2299,2426,81
85,Watermelon,2018,142,29335,9924,7286,2454,3569,6514,79213,1545,666,733,2266,1226,2639,2903,109
86,Coconut,2014,1173,40978,74372,189174,1380491,806929,1124412,359826,448111,1191923,1659014,1838405,2332090,1071707,821513,1356182
87,Coconut,2015,1165,39464,77118,167738,1379298,818146,1105743,410888,432043,1165867,1682121,1851702,2246188,1159818,804723,1393168
88,Coconut,2016,1037,40158,77177,100755,1517414,758748,1081112,435057,403758,1072666,1529763,1802403,1894663,958351,775473,1376545
89,Coconut,2017,981,43625,73795,106524,1549308,772479,1076257,467671,433182,1087567,1700250,1807046,1886600,938162,781615,1324069
90,Coconut,2018,942,42482,73855,108072,1679779,790678,1186964,488254,445358,1095948,1771941,1839731,1932559,1136422,794555,1338625
91,Coffee,2014,5251,84,744,1645,4691,182,299,4346,218,61,969,5416,11793,28000,1406,10349
92,Coffee,2015,5210,80,743,1649,2272,178,296,4391,209,59,1007,5437,11681,26958,1646,10526
93,Coffee,2016,3736,177,772,1181,2818,167,267,4356,191,71,777,5605,11430,25101,1834,10342
94,Coffee,2017,1886,159,777,1089,2109,161,251,4435,198,64,514,5695,10840,22119,1583,10198
95,Coffee,2018,2199,158,878,1040,2058,158,226,4219,191,61,508,5739,10833,19902,1665,10477
96,Sugarcane,2014,49709,19313,569077,923074,1578076,0,259239,14523886,2272491,348642,288,3441056,335684,632979,0.5,76364
97,Sugarcane,2015,51787,19512,583808,678439,1741706,0,239010,13420517,1944255,179363,107,3065463,208743,680383,0.4,113343
98,Sugarcane,2016,41816,19571,562002,720327,1663545,0,264095,13354407,1900575,333412,101,2766783,270397,437447,0.4,36066
99,Sugarcane,2017,24870,19805,457444,837490,1795255,0,245887,16961168,2785082,373162,96,4589614,402723,684403,0.4,109894
100,Sugarcane,2018,28978,19589,398731,770326,1670120,0,224386,14694816,2443676,315150,97,3068055,392647,589605,1.6,114643
101,Cabbage,2014,99520,3215,1189,0,828,30,187,441,8688,133,773,6710,4247,1564,4,460
102,Cabbage,2015,97307,3257,1537,0,761,33,112,484,8500,138,793,6672,4266,1430,3,459
103,Cabbage,2016,94728,3265,1612,0.1,696,33,114,450,8642,137,821,6524,4210,1385,3,462
104,Cabbage,2017,94233,3300,1665,0.1,616,33,112,487,8340,117,790,6807,4253,1292,3,426
105,Cabbage,2018,93033,3126,1476,0.05,488,27,107,528,8111,79,774,6959,4387,1253,4,304
106,Carrots,2014,60507,1,585,0,33,3,22,144,3632,12,315,1264,1309,514,1,0
107,Carrots,2015,59527,0.3,595,0,31,3,22,140,3351,12,310,1232,1279,535,0,0
108,Carrots,2016,58695,0,575,0.1,30,2,18,150,3212,12,313,1226,1241,512,0,0
109,Carrots,2017,58319,0,597,0.1,25,2,17,149,2766,4,309,1247,1262,522,0,0
110,Carrots,2018,57779,0,619,0.1,23,2,13,158,2885,2,310,1259,1323,521,1,0
111,Cassava,2014,12197,17513,135867,20505,51398,19025,109021,61238,90556,79976,77185,663580,17958,121823,17181,1045233
112,Cassava,2015,13377,17239,240105,20517,51316,19722,108629,59622,114035,84216,81339,728845,18605,114398,18201,1024180
113,Cassava,2016,16833,17617,312717,20954,50242,19888,105855,58090,117954,84854,84014,705334,23229,105021,24720,1007822
114,Cassava,2017,22287,18325,325265,21280,47609,21883,96708,56529,98653,85901,90315,736546,21920,103829,22146,1037472
115,Cassava,2018,22606,18840,299313,21234,42190,21417,87256,53263,66237,84829,86691,716914,21869,95109,21900,1063364
116,Eggplant,2014,957,79400,19723,20918,36872,3768,7115,17022,9551,2007,4492,4779,7059,7308,3946,664
117,Eggplant,2015,975,81941,20842,23774,38332,4023,6746,16987,9445,2117,4588,4702,7014,6734,3970,673
118,Eggplant,2016,946,87222,18367,23447,36688,4191,6636,17731,9203,2030,4536,4763,6523,6669,5985,688
119,Eggplant,2017,993,90078,20278,26376,33081,5475,6885,17137,9869,2014,4581,4965,6516,6994,5946,712
120,Eggplant,2018,964,93193,18765,26988,32690,5565,6820,17794,9162,2022,4695,5193,6699,6848,6685,758
121,Garlic(Bulb),2014,11,6005,618,364,95,1795,0,100,1,4,0,0,0,0,0,0
122,Garlic(Bulb),2015,12,7263,641,372,94,1943,0,89,1,4,0,0,0,0,0,0
123,Garlic(Bulb),2016,10,4488,637,344,88,1819,0,79,0,4,0,0,0,0,0,0
124,Garlic(Bulb),2017,1,5101,542,229,76,1719,0,80,0,4,0,0,0,0,0,0
125,Garlic(Bulb),2018,1,4983,551,258,67,1606,0,89,0,4,0,0,0,0,0,0
126,Ginger,2014,946,909,5322,1211,3718,577,317,1388,1897,1845,673,5703,890,713,193,894
127,Ginger,2015,924,948,5059,1220,3695,596,319,1349,1874,1875,648,5523,902,636,171,884
128,Ginger,2016,886,930,4947,1260,3755,655,329,1374,1999,1885,624,5494,890,651,226,882
129,Ginger,2017,907,960,5215,1343,3693,786,350,1439,2071,1948,609,5415,966,642,254,885
130,Ginger,2018,917,995,5240,1384,4053,760,367,1493,1921,1944,620,5480,1002,618,230,901
131,Bottle Gourd,2014,1324,10985,9849,9245,25547,583,3323,2528,3003,3350,3459,3498,3223,1509,945,846
132,Bottle Gourd,2015,1200,10860,9758,9400,25731,623,3331,2516,2606,3449,3311,3455,3161,1456,1031,846
133,Bottle Gourd,2016,1177,10550,8762,9670,24725,620,3226,2482,2298,3431,3206,3484,3068,1325,1117,837
134,Bottle Gourd,2017,1211,10736,8537,10712,24773,723,3279,2435,2323,3311,3232,3546,3141,1367,1211,866
135,Bottle Gourd,2018,1165,10371,7722,10490,23931,730,3421,2464,2224,3236,3290,3589,3126,1317,1274,881
136,Snap Beans,2014,8092,358,2580,45,192,0,683,156,1592,301,181,666,159,260,35,4
137,Snap Beans,2015,7757,358,2471,44,209,3,703,153,1489,312,190,585,163,226,77,4
138,Snap Beans,2016,7429,350,2429,42,190,2,758,143,1514,305,204,598,150,209,62,5
139,Snap Beans,2017,7170,381,2330,43,209,4,785,147,1492,286,203,628,182,225,62,5
140,Snap Beans,2018,6982,370,2305,44,239,4,701,157,1518,290,193,682,186,225,50,5
141,Lettuce,2014,1291,0,3,,274,6,0,35,612,1,24,1759,6,49,0.1,0
142,Lettuce,2015,1204,0,4,,314,7,0,55,552,1,24,1593,6,49,0,0
143,Lettuce,2016,1188,0,3,1,329,8,0,50,530,1,24,1603,34,51,0.3,0
144,Lettuce,2017,1209,0,3,0.3,353,8,0,54,578,1,23,1687,61,51,4,0
145,Lettuce,2018,1099,0,2,2,364,8,0,60,673,10,24,1728,59,51,4,0
146,Mongo,2014,133,12105,7164,3489,93,727,166,2696,566,159,239,366,952,473,182,2633
147,Mongo,2015,128,11875,8252,3880,103,768,161,2870,539,165,232,377,935,446,239,2652
148,Mongo,2016,124,12369,8283,4015,104,787,158,2736,490,156,226,366,940,413,241,2629
149,Mongo,2017,111,12619,7818,5487,97,762,158,2762,515,146,225,374,970,394,272,2630
150,Mongo,2018,93,12677,7346,7070,82,777,151,2920,487,133,233,354,973,372,266,2728
151,Okra,2014,50,1738,5181,10898,1665,298,1809,1679,1659,862,792,1858,612,558,578,38
152,Okra,2015,50,1763,5221,11033,1836,327,1796,1688,1571,893,799,1823,611,558,629,39
153,Okra,2016,46,1816,4971,11300,1653,368,1779,1774,1489,888,784,1813,625,570,613,40
154,Okra,2017,49,1915,5253,11183,1680,461,1859,1931,1585,824,794,1885,675,589,656,41
155,Okra,2018,43,1926,5040,11173,1595,474,1876,2087,1501,809,826,1955,683,579,663,48
156,Onion,2014,0,39727,7628,142344,373,13334,0,170,17,0,2,0,0,57,0,0
157,Onion,2015,0,40048,7019,115908,298,17579,0,297,4,0,2,0,0,53,1,0
158,Onion,2016,0,38472,7838,61075,215,14665,0,278,6,0,1,0,0,44,0,0
159,Onion,2017,0,40292,8664,115553,171,19405,0,307,5,0,1,0,0,28,1,0
160,Onion,2018,0,38320,8854,106255,156,18701,0,360,4,0,0,0,0,16,0,0
161,Peanut,2014,124,11762,3644,1822,495,1299,884,2183,1005,498,1071,2453,555,671,151,579
162,Peanut,2015,110,11564,3887,1724,517,1371,852,2222,982,514,1063,2403,568,647,202,570
163,Peanut,2016,103,11210,3210,1725,514,1414,882,2072,921,489,1111,2416,546,554,200,555
164,Peanut,2017,97,12072,3141,1857,489,1441,866,2251,1084,472,1138,2457,577,629,241,563
165,Peanut,2018,75,12009,3182,1735,457,1427,899,2393,1022,472,1116,2509,591,694,269,579
166,ChinesePechay,2014,45145,1,142,0,153,0,0,0,3689,2,84,2260,375,392,0,0
167,ChinesePechay,2015,44677,1,133,0,161,0,0,0,3471,2,83,2175,387,345,0,0
168,ChinesePechay,2016,43984,0,157,1,123,0,0,0,3511,2,80,2184,385,319,0,0
169,ChinesePechay,2017,43376,0,187,1,121,0,0,0,3515,1,72,2239,414,338,0,0
170,ChinesePechay,2018,42566,0,209,9,122,0,0,0,3584,2,75,2297,449,348,0,0
171,NativePechay,2014,3972,2304,5688,3052,6877,602,12784,1805,1463,744,1808,1349,1420,621,764,392
172,NativePechay,2015,3783,2337,5725,3151,7161,632,13464,1918,1267,788,1848,1343,1422,578,768,395
173,NativePechay,2016,3641,2394,5886,3297,7017,706,13542,1975,1171,775,1778,1330,1379,533,839,393
174,NativePechay,2017,3359,2442,6533,3697,6896,1171,13962,2053,1346,756,1721,1320,1415,559,997,398
175,NativePechay,2018,3083,2490,6276,3564,6408,1122,13975,2184,1474,745,1774,1420,1430,578,1048,415
176,Camote,2014,15610,15142,8558,32822,32037,15866,87911,45083,33980,108045,21895,34795,19243,10547,32056,6264
177,Camote,2015,15142,14563,8276,47309,31816,16493,90415,46338,31480,111874,22959,34442,19127,9274,30148,6337
178,Camote,2016,14460,15206,8215,47856,30851,16396,89250,44930,31614,105940,24055,34788,18476,7908,33284,6243
179,Camote,2017,13316,15800,8461,50925,29703,17141,87378,46692,32242,105620,24170,35809,18908,7781,37028,6330
180,Camote,2018,11525,15757,8640,51097,29170,17202,85610,45407,30687,99194,25314,37026,18844,7446,36316,6400
181,Gabi,2014,4924,3224,15622,7317,6051,4241,10539,4829,6276,21575,1755,3117,3610,5106,11151,1029
182,Gabi,2015,4880,3139,15941,7385,6171,4158,10801,4753,6158,22320,1550,3079,3571,4446,12607,1031
183,Gabi,2016,4789,2959,15743,7532,5923,3824,10158,4625,5245,21946,1464,3085,3451,3700,12121,1004
184,Gabi,2017,4848,2938,16073,7962,6089,4469,9726,4620,5446,22000,1451,3149,3493,3649,12448,1014
185,Gabi,2018,4697,2948,16209,8119,5939,4488,10026,4658,5126,21825,1486,3212,3522,3369,11301,1031
186,Tomato,2014,3984,72511,9903,23832,19299,1798,3372,9734,6027,596,5761,47923,4031,5139,248,414
187,Tomato,2015,3911,72484,10389,24040,19670,1951,3665,10462,5768,618,5896,46000,4091,5174,241,413
188,Tomato,2016,3725,68761,10713,25288,17775,2050,3891,10807,4869,617,5928,46213,3935,5303,433,412
189,Tomato,2017,3657,72376,10895,27739,16959,2867,3718,11516,5099,575,5874,47395,4043,5161,501,416
190,Tomato,2018,3283,72130,11056,27942,17323,2948,3704,12341,5365,569,6006,47991,4087,5152,493,434
191,Ubi,2014,170,372,2209,578,677,570,535,653,6364,757,316,1007,361,321,41,315
192,Ubi,2015,167,378,2047,594,657,590,528,648,5130,764,293,1011,350,293,33,315
193,Ubi,2016,157,387,1872,567,1338,600,468,611,5211,738,291,1014,313,247,32,319
194,Ubi,2017,171,406,1864,562,1399,624,435,619,5351,687,291,1044,315,251,32,325
195,Ubi,2018,165,424,1838,533,1489,632,418,614,5446,628,297,1060,311,247,33,329
